,질문,답변
38,2019년 노동법 중요판례평석 논문을 찾아줘,"관련된 논문은 ""2019년 노동법 중요판례평석""이며 저자는 도재형입니다. 이 논문은 2020년에 발행되었습니다. 내용으로는, 월간 노동 법률이 실무 노동법 전문가들을 대상으로 중요 판결을 선정한 조사 결과와, 인터넷 신문인 '매일노동 뉴스'가 연말에 노동판례를 평가한 내용이 포함되어 있습니다. '매일노동 뉴스'에서는 전향적인 판례가 다수 확인되었으며, 노조파괴 및 부당노동행위를 한 사용자에 대한 의미 있는 판결이 다수 나왔다고 평가했습니다. 이는 새로운 노동판례가 법리적 기틀을 형성하며 발전하기를 기대하는 바람을 담은 논문입니다."
39,2019년 조세법 중요판례평석에 관한 논문을 찾아줘,"관련된 논문은 ""2019년 조세법 중요판례평석""입니다. 저자는 이전오이며, 단독으로 작업을 진행하였고, 논문은 2020년에 발행되었습니다. 이 논문에서는 2019년 한 해 동안 대법원에서 선고한 조세 관련 판례 중에서 핵심적인 9개 판결을 선정하여, 그 중요성과 함께 각 판결의 법리를 상세히 해설하고 평가하였습니다. 특히, 총론 분야에서는 대법원 2019. 1. 31. 선고 2017두75873 판결, 소득 과세 분야에서는 대법원 2019. 5. 16. 선고 2018두34848 판결, 그리고 부가가치 세 분야에서는 대법원 2019. 7. 24. 선고 2018도16168 판결 등의 주요 판시를 깊이 있게 분석하였습니다. 이 논문은 조세법 전문가들 뿐 아니라 법학을 공부하는 학생들에게도 유익한 자료가 될 것입니다."
40,2019년 지적재산법 중요 판례 평석에 관한 논문을 찾아줘,"관련된 논문은 ""2019년 지적재산법 중요판례평석""입니다. 이 논문의 저자는 박성호이며, 2020년에 발행되었습니다. 내용을 살펴보면, 특허법 제2조 제1호에 따르면, 발명이란 ""자연법칙을 이용한 기술적 사상의 창작으로서 고도한 것""을 의미하며, 이로써 발명의 정의와 성립요건을 명시하고 있습니다. 이번 논문에서는 특히 발명의 성립성에 관한 실무상 판단에 초점을 맞추며, 구체성을 결여한 미완성 발명이 발명의 성립요건을 충족하지 못하는 사례에 대해 깊이 있게 분석하고 있습니다. 이 논문은 지적재산법과 관련된 중요 판례를 해석하고, 발명의 정의 및 성립요건에 대한 이해를 한층 높이는 데 기여합니다."
41,2019년 민사소송법 중요 판례 분석에 관한 논문을 찾아줘,"관련된 논문은 ""2019년 민사소송법 중요판례평석 Analysis of representative precedents under the civil procedure act in 2019""입니다. 저자는 최환주이며, 2020년에 발행되었습니다. 이 논문에서는 특히 대법원이 상소제기 금지사유 중 하나인 '불상소합'에 대해 그 동안 엄격한 해석을 요구해왔던 태도와 관련하여, 이러한 합의는 소송당사자에게 상소권 포기와 같은 중대한 소송법상의 효과를 가져옴으로써, 그 존재 유무에 대해서는 명확하지 않은 이상 가급적 소극적 입장에서 판단해야 한다고 지적하면서, 해당 판결에서도 소송요건인 '부제소합의'에 대하여 같은 취지의 판단을 내렸다는 분석을 제공합니다. 이 연구는 최근의 법원 판례를 통해 민사소송법의 해석과 적용에 있어서의 중요한 변화와 발전을 고찰합니다."
42,2019년 형사소송법 중요 판례 평석 논문을 찾아줘,"관련된 논문은 ""2019년 형사소송법 중요판례평석""이라는 제목으로 이창현 저자에 의해 2020년에 발행되었습니다. 이 논문은 2019년 형사소송법 분야에서 선고된 중요 대법원 형사판례 10건을 선정하여 심도깊게 분석합니다. 논문은 핵심 쟁점을 수사, 증거, 재판 및 상소, 재심의 네 분야로 구분하여 각 판례에 대한 사안 해석, 판결 또는 결정의 요지, 그리고 깊이 있는 평석으로 구성되어 있습니다. 법률 실무와 형사법학계에 기여하는 중대한 평석으로 평가받고 있습니다."
43,2019년 도산법 중요판례에 관한 논문을 찾아줘.,"관련된 논문은 ""2019년 도산법 중요판례평석""이라는 제목으로 전병서 저자에 의해 2020년에 발행되었습니다. 이 논문에서는 파산절차의 기본 원칙과 특성을 다루고 있습니다. 논문의 핵심 내용으로는, 파산절차가 채권자들을 위한 강제집행 절차로 기능하며, 파산선고가 이루어지게 되면 채무자의 모든 재산은 파산재단에 포함되어 파산관재인에 의해 관리되고 환가됨을 설명합니다. 이 과정을 통해 파산채권자들에게 공평한 배당이 이루어지며, 최종적으로 채무자와 채권자 모두에게 만족을 줄 수 있는 구조임을 보여줍니다. 이 논문은 도산법 사례 연구를 통해 파산절차의 법적 처리 과정과 그 중요성을 깊이 있게 탐구하고 있습니다."
44,2019년 국제법 중요판례평석 논문을 찾아줄 수 있을까요?,"관련된 논문은 ""2019년 국제법 중요판례평석""입니다. 저자 이성덕은 2020년에 이 논문을 발표했습니다. 이 논문은 제한적 주권면제론을 중심으로 국가의 행위를 주권적·권력적 행위와 사법적·상업적 행위로 구분하며, 이에 따른 주권면제의 인정 여부를 다뤘습니다. 특히, 제한적 주권면제론이 오늘날 국제관습법으로 자리잡았다는 점과 UN 협약에서도 이러한 입장이 반영되었다는 점에 주목합니다. 논문은 국가 행위의 구분 기준에 따른 주권면제 인정의 복잡성을 해석하며, 이에 대한 심도 있는 분석을 제공합니다."
45,2019년 채권법 중요 판례 평석 논문을 찾아줘.,"관련된 논문은 ""2019년 채권법 중요판례평석""입니다. 이 논문의 저자는 주지홍이며, 2020년에 발행되었습니다. 내용에서는 판례에서 '보호의무'와 '안전배려의무'의 사용에 따른 차이점과 해석의 문제를 다루고 있습니다. 특히, 판례에서 안전배려의무가 주로 계약관계에서의 부수적 주의의무로 언급되며, 이는 신의칙상 주의의무인 '안전배려의무'로 명시되어 있다는 점을 분석하고 있습니다. 이 논문은 채권법에 대한 중요한 판례 해석을 제공하며, 법률 전문가들에게 귀중한 통찰을 제공합니다."
46,중국의 아동 관련 범죄와 엄벌주의 현황에 관한 논문을 찾아줘.,"관련된 논문은 ""엄벌주의 현황에 대한 고찰 - 중국의 아동 관련 범죄를 중심으로 -""입니다. 이 논문은 저자 장지화에 의해 2020년에 작성되었습니다. 논문에서는 한국의 형사 정책 기조로서 엄벌주의의 강화 추세를 설명하면서, 특히 2010년 유기 징역형의 상한이 30년으로 조정된 바와 2011년 성폭력 범죄 처벌에 관한 특례법 개정 사례를 들어 그 변화의 배경과 현재 상황을 자세히 분석하고 있습니다. 논문은 중국 내 아동 관련 범죄에 대해 엄벌주의 적용 사례를 중점적으로 다루며, 이를 통해 현재 한국의 형사 정책의 방향성에 대한 평가와 함께 향후 정책 수립에 있어 고려해야 할 점들에 대해 심도 있는 논의를 제공합니다."
47,A씨 수첩의 증거능력에 관한 논문을 찾아줘,"관련된 논문은 ""A씨 수첩의 증거능력""입니다. 이 논문의 저자는 심희기이며, 2020년에 발행되었습니다. 논문의 내용은 특정 사건의 법정에서 제출된 유죄 증거 중, 대통령의 수석 비서관인 A씨가 작성한 업무 수첩의 증거능력에 대한 대중적 및 학술적 관심을 다루고 있습니다. A씨는 법정에서 이 수첩에는 오로지 업무 관련 내용과 대통령의 발언을 직접 기록한 것으로, 자신의 주관적인 생각을 가감하거나 변형시킨 부분은 전혀 없다고 진술하였습니다. 이 논문은 해당 수첩의 내용이 어떻게 법적인 증거로 활용될 수 있는지에 대한 분석을 제공합니다."
48,한국형 규제 샌드박스에 관한 논문을 찾아줄래?,"관련된 논문은 ""한국형 규제 샌드박스의 이해와 정책적 제언 - 샌드박스 활성화를 위한 정책, 입법·제도 개선 중심으로 -""입니다. 저자는 이재훈이며, 2020년에 발행되었습니다. 이 논문에서는 규제의 개념을 재정립하고, 전통적인 정부의 국정 관리 수단으로서의 규제가 시대의 변화와 과학기술의 발전에 따라 어떻게 재해석되어야 하는지에 대해 탐구합니다. 규제 샌드박스는 이러한 변화하는 환경 속에서 혁신을 촉진하고 국가 발전을 저해하는 불필요한 규제를 줄이는 방안으로 제시되며, 저자는 샌드박스 활성화를 위한 다양한 정책, 입법 및 제도 개선 방안을 제안합니다."
49,수직구조 과점시장에서의 수직배제와 라이센싱에 대한 논문을 찾아줘.,"관련된 논문은 ""수직구조 과점시장에서 수직배제, 중간재 공급, 라이센싱 효과""입니다. 저자는 박종국, 단독이며, 2020년에 발행되었습니다. 이 논문은 상류 시장과 하류 시장의 개념을 도입하여, 상류 시장에서는 중간재를 생산하는 기업들이 하류 시장의 최종재 생산을 위해 중간재를 공급하는 경쟁의 상황을, 하류 시장에서는 최종재를 생산하여 판매하는 기업들 사이의 경쟁 구조를 설명합니다. 특히, 수직결합 기업의 다양한 전략, 예를 들어 하류 시장에서 결합하지 않은 기업에 중간재를 공급하지 않는 수직배제 전략, 중간재를 공급하는 전략, 또는 상류 기업에 기술 특허를 라이센싱하는 전략 등에 초점을 맞추고, 각 전략이 경쟁 시장 내에서 어떤 영향을 미치는지 분석합니다. 이 연구는 수직구조를 가진 과점시장에서의 기업 전략과 경쟁 동학을 이해하는 데 중요한 시사점을 제공합니다."
50,암환자 가족의 부양부담에 영향을 미치는 요인에 관한 논문을 찾아줄래?,"관련된 논문은 ""암환자 가족의 부양부담에 영향을 미치는 요인에 관한 연구""입니다. 저자는 이문경, 윤현숙, 최경원이며, 2010년에 발행되었습니다. 이 논문에서는 과학의 발달과 의료기술의 향상으로 암환자의 생존기간이 연장됨에 따라, 장기적인 관리가 필요해진 현상과 그로 인해 암환자를 돌보는 가족들이 직면하는 다양한 어려움들에 대해 탐구합니다. 신체적 건강문제, 좌절감, 정신적·사회적 문제, 재정적인 어려움 등이 그 예로, 이러한 문제들은 치료 과정 중에 환자뿐만 아니라 가족의 삶에도 부정적인 영향을 끼칩니다. 논문은 암환자 가족이 직면하는 부양부담의 심각성을 조명하고, 가족 구성원들이 환자를 돌보는 것을 단순히 책임이나 의무로만 여기는 경향 때문에 이러한 부담이 가중되고 있음을 밝히고 있습니다."
51,십대 청소년 미혼모의 학습권 관련 논문을 찾아줘,"관련된 논문은 ""십대 청소년 미혼모의 학습권 회복을 향한 분투노력: Parse의 인간되어감 연구방법을 적용하여""입니다. 저자는 김현경이며, 발행연도는 2010년입니다. 이 연구는 십대 청소년의 신체발달과 성경험의 저연령화 현상을 다루며, 성적 상상이나 음란물 접촉 시기의 조기화 문제를 조명합니다. 특히, 성관계 경험의 시작 연령이 평균 14.2세에 달하며, 성관계 경험 비율이 5~10%에 이르고, 십대 미혼모가 전체 미혼모 중 33.2%를 차지하는 등 십대들의 임신 실태 및 그 사회적 문제에 대한 심층적 분석을 제공합니다. 이는 이미 세계적인 추세로서, 십대 청소년 미혼모의 학습권 회복에 대한 분투와 그들이 직면한 다양한 문제점들을 깊이 있게 탐구한 연구입니다."
